Arc Center Distance,Diameter,Width,Pitch,Blade Count,Thickness,Rotational Speed,Efficiency
0.25,11,0.25,45,3,0.05,2500,0.00
0.25,11,0.25,60,3,0.05,500,0.11
0.25,11,0.25,60,3,0.05,1000,0.00
0.25,11,0.25,60,3,0.05,1500,0.00
0.25,11,0.25,60,3,0.05,2000,0.00
0.25,11,0.25,60,3,0.05,2500,0.00
0.25,11,0.75,30,3,0.05,500,0.12
0.25,11,0.75,30,3,0.05,1000,0.13
0.25,11,0.75,30,3,0.05,1500,0.00
0.25,11,0.75,30,3,0.05,2000,0.00
0.25,11,0.75,30,3,0.05,2500,0.00
0.25,11,0.75,45,3,0.05,500,0.28
0.25,11,0.75,45,3,0.05,1000,0.12
0.25,11,0.75,45,3,0.05,1500,0.21
0.25,11,0.75,45,3,0.05,2000,0.31
0.25,11,0.75,45,3,0.05,2500,0.00
0.25,11,0.75,60,3,0.05,500,0.35
0.25,11,0.75,60,3,0.05,1000,0.44
0.25,11,0.75,60,3,0.05,1500,0.24
0.25,11,0.75,60,3,0.05,2000,0.21
0.25,11,0.75,60,3,0.05,2500,0.01
0.25,11,1.25,30,3,0.05,500,0.22
0.25,11,1.25,30,3,0.05,1000,0.12
0.25,11,1.25,30,3,0.05,1500,0.10
0.25,11,1.25,30,3,0.05,2000,0.19
0.25,11,1.25,30,3,0.05,2500,0.01
0.25,11,1.25,45,3,0.05,500,0.21
0.25,11,1.25,45,3,0.05,1000,0.18
0.25,11,1.25,45,3,0.05,1500,0.20
0.25,11,1.25,45,3,0.05,2000,0.40
0.25,11,1.25,45,3,0.05,2500,0.01
0.25,11,1.25,60,3,0.05,500,0.31
0.25,11,1.25,60,3,0.05,1000,0.34
0.25,11,1.25,60,3,0.05,1500,0.21
0.25,11,1.25,60,3,0.05,2000,0.37
0.25,11,1.25,60,3,0.05,2500,0.08
0.25,11,1.5,30,3,0.05,500,0.06
0.25,11,1.5,30,3,0.05,1000,0.13
0.25,11,1.5,30,3,0.05,1500,0.08
0.25,11,1.5,30,3,0.05,2000,0.16
0.25,11,1.5,30,3,0.05,2500,0.01
0.25,11,1.5,45,3,0.05,500,0.09
0.25,11,1.5,45,3,0.05,1000,0.36
0.25,11,1.5,45,3,0.05,1500,0.20
