Arc Center Distance,Diameter,Width,Pitch,Blade Count,Thickness,Rotational Speed,Thrust,Efficiency
0.25,5,1.5,60,3,0.05,1500,1.036242251,0.01,
0.25,5,1.5,60,3,0.05,2000,0.6665633746,0.00,
0.25,5,1.5,60,3,0.05,2500,0.99918926,0.00,
0.25,7,0.25,30,3,0.05,500,0.263425356,0.04,
0.25,7,0.25,30,3,0.05,1000,0.9118203672,0.04,
0.25,7,0.25,30,3,0.05,1500,2.566511459,0.05,
0.25,7,0.25,30,3,0.05,2000,4.270289678,0.05,
0.25,7,0.25,30,3,0.05,2500,0.006194822406,0.00,
0.25,7,0.25,45,3,0.05,500,0.5237486422,0.14,
0.25,7,0.25,45,3,0.05,1000,2.025720995,0.14,
0.25,7,0.25,45,3,0.05,1500,4.668081427,0.15,
0.25,7,0.25,45,3,0.05,2000,5.984112933,0.09,
0.25,7,0.25,45,3,0.05,2500,6.49968796,0.06,
0.25,7,0.25,60,3,0.05,500,0.8294232511,0.31,
0.25,7,0.25,60,3,0.05,1000,3.245664923,0.31,
0.25,7,0.25,60,3,0.05,1500,2.459870977,0.06,
0.25,7,0.25,60,3,0.05,2000,4.164539197,0.06,
0.25,7,0.25,60,3,0.05,2500,8.559430702,0.09,
0.25,7,0.75,30,3,0.05,500,1.580018442,0.21,
0.25,7,0.75,30,3,0.05,1000,6.452911041,0.22,
0.25,7,0.75,30,3,0.05,1500,14.9548565,0.23,
0.25,7,0.75,30,3,0.05,2000,27.20405247,0.24,
0.125,6,0.75,30,3,0.05,2094.3951,20.86279846,0.29,
0.25,7,0.75,30,3,0.05,2500,36.7434978,0.21,
0.25,7,0.75,45,3,0.05,500,1.989125221,0.33,
0.25,7,0.75,45,3,0.05,1000,8.761697492,0.39,
0.25,7,0.75,45,3,0.05,1500,19.01452086,0.37,
0.25,7,0.75,45,3,0.05,2000,33.06257533,0.37,
0.25,7,0.75,45,3,0.05,2500,52.90761735,0.39,
0.25,7,0.75,60,3,0.05,500,0.7534219577,0.22,
0.25,7,0.75,60,3,0.05,1000,2.96489196,0.23,
0.25,7,0.75,60,3,0.05,1500,6.916509406,0.25,
0.25,7,0.75,60,3,0.05,2000,12.63206367,0.27,
0.125,6,0.75,50,3,0.05,2094.3951,22.12484713,0.37,
0.25,7,0.75,60,3,0.05,2500,19.65318414,0.28,
0.25,7,1.25,30,3,0.05,500,2.78801817,0.27,
0.25,7,1.25,30,3,0.05,1000,10.86289265,0.26,
0.25,7,1.25,30,3,0.05,1500,24.76912241,0.27,
0.25,7,1.25,30,3,0.05,2000,45.42995703,0.29,
0.25,7,1.25,30,3,0.05,2500,81.62351144,0.34,
0.25,7,1.25,45,3,0.05,500,2.34097262,0.37,
0.25,7,1.25,45,3,0.05,1000,9.088303759,0.36,
0.25,7,1.25,45,3,0.05,1500,21.3570424,0.39,
0.25,7,1.25,45,3,0.05,2000,38.08154687,0.40,
0.25,7,1.25,45,3,0.05,2500,61.09267712,0.42,
0.25,7,1.25,60,3,0.05,500,0.9186812053,0.12,
0.25,7,1.25,60,3,0.05,1000,3.778620981,0.13,
0.25,7,1.25,60,3,0.05,1500,8.548997161,0.14,
0.25,7,1.25,60,3,0.05,2000,15.26317667,0.15,
0.25,7,1.25,60,3,0.05,2500,23.045643,0.15,
0.25,7,1.5,30,3,0.05,500,2.433108822,0.19,
0.25,7,1.5,30,3,0.05,1000,9.932763995,0.21,
0.25,7,1.5,30,3,0.05,1500,22.51198503,0.21,
0.25,7,1.5,30,3,0.05,2000,41.04765638,0.23,
0.25,7,1.5,30,3,0.05,2500,63.08597305,0.22,
0.25,7,1.5,45,3,0.05,500,2.607540748,0.29,
0.25,7,1.5,45,3,0.05,1000,10.39803836,0.29,
0.25,7,1.5,45,3,0.05,1500,23.73280245,0.31,
0.25,7,1.5,45,3,0.05,2000,48.6704542,0.39,
0.25,7,1.5,45,3,0.05,2500,75.593957,0.39,
0.25,7,1.5,60,3,0.05,500,0.3063537164,0.01,
0.25,7,1.5,60,3,0.05,1000,1.444932749,0.02,
0.25,7,1.5,60,3,0.05,1500,2.945787086,0.02,
0.25,7,1.5,60,3,0.05,2000,7.385746766,0.03,
0.25,7,1.5,60,3,0.05,2500,11.33508744,0.03,
0.25,9,0.25,30,3,0.05,500,0.1824522095,0.01,
0.25,9,0.25,30,3,0.05,1000,0.9629048343,0.01,
0.25,9,0.25,30,3,0.05,1500,1.797451089,0.01,
0.25,9,0.25,30,3,0.05,2000,0.3969859318,0.00,
0.25,9,0.25,30,3,0.05,2500,-0.06374967698,0.00,
0.25,9,0.25,45,3,0.05,500,1.139786853,0.13,
0.25,9,0.25,45,3,0.05,1000,3.664753043,0.10,
0.25,9,0.25,45,3,0.05,1500,5.050852309,0.05,
0.25,9,0.25,45,3,0.05,2000,5.705398234,0.03,
0.25,9,0.25,45,3,0.05,2500,6.554295305,0.02,
0.25,9,0.25,60,3,0.05,500,1.2527961,0.16,
0.25,9,0.25,60,3,0.05,1000,4.639477102,0.15,
0.25,9,0.25,60,3,0.05,1500,0.7859425059,0.00,
0.25,9,0.25,60,3,0.05,2000,1.41284022,0.00,
0.25,9,0.25,60,3,0.05,2500,0.3478674124,0.00,
0.25,9,0.75,30,3,0.05,500,1.285350194,0.05,
0.25,9,0.75,30,3,0.05,1000,13.71249026,0.19,
